title,text,description,htmlUrl,xmlUrl,language,type,version,category
"derStandard.at - sport","derStandard.at - sport",,https://www.derstandard.at/sport,https://www.derstandard.at/rss/sport,de-AT,rss,RSS,sports
"orf.at - sport","orf.at - sport",,https://sport.orf.at/,https://rss.orf.at/sport.xml,de-AT,rss,RSS,sports
"krone.at - sport","krone.at - sport",,https://www.krone.at/sport,https://api.krone.at/v1/rss/rssfeed-sport.html,de-AT,rss,RSS,sports
